"game_id","season","week","game_date","home_team","away_team","home_score","away_score","winner","win_location"
"2020_01_ARI_SF",2020,1,"2020-09-13","SF","ARI",20,24,"ARI","away"
"2020_01_CHI_DET",2020,1,"2020-09-13","DET","CHI",23,27,"CHI","away"
"2020_01_CLE_BAL",2020,1,"2020-09-13","BAL","CLE",38,6,"BAL","home"
"2020_01_DAL_LA",2020,1,"2020-09-13","LA","DAL",20,17,"LA","home"
"2020_01_GB_MIN",2020,1,"2020-09-13","MIN","GB",34,43,"GB","away"
"2020_01_HOU_KC",2020,1,"2020-09-10","KC","HOU",34,20,"KC","home"
"2020_01_IND_JAX",2020,1,"2020-09-13","JAX","IND",27,20,"JAX","home"
"2020_01_LAC_CIN",2020,1,"2020-09-13","CIN","LAC",13,16,"LAC","away"
"2020_01_LV_CAR",2020,1,"2020-09-13","CAR","LV",30,34,"LV","away"
"2020_01_MIA_NE",2020,1,"2020-09-13","NE","MIA",21,11,"NE","home"
"2020_01_NYJ_BUF",2020,1,"2020-09-13","BUF","NYJ",27,17,"BUF","home"
"2020_01_PHI_WAS",2020,1,"2020-09-13","WAS","PHI",27,17,"WAS","home"
"2020_01_PIT_NYG",2020,1,"2020-09-14","NYG","PIT",16,26,"PIT","away"
"2020_01_SEA_ATL",2020,1,"2020-09-13","ATL","SEA",25,38,"SEA","away"
"2020_01_TB_NO",2020,1,"2020-09-13","NO","TB",34,23,"NO","home"
"2020_01_TEN_DEN",2020,1,"2020-09-14","DEN","TEN",14,16,"TEN","away"
"2020_02_ATL_DAL",2020,2,"2020-09-20","DAL","ATL",40,39,"DAL","home"
"2020_02_BAL_HOU",2020,2,"2020-09-20","HOU","BAL",16,33,"BAL","away"
"2020_02_BUF_MIA",2020,2,"2020-09-20","MIA","BUF",28,31,"BUF","away"
"2020_02_CAR_TB",2020,2,"2020-09-20","TB","CAR",31,17,"TB","home"
"2020_02_CIN_CLE",2020,2,"2020-09-17","CLE","CIN",35,30,"CLE","home"
"2020_02_DEN_PIT",2020,2,"2020-09-20","PIT","DEN",26,21,"PIT","home"
"2020_02_DET_GB",2020,2,"2020-09-20","GB","DET",42,21,"GB","home"
"2020_02_JAX_TEN",2020,2,"2020-09-20","TEN","JAX",33,30,"TEN","home"
"2020_02_KC_LAC",2020,2,"2020-09-20","LAC","KC",20,23,"KC","away"
"2020_02_LA_PHI",2020,2,"2020-09-20","PHI","LA",19,37,"LA","away"
"2020_02_MIN_IND",2020,2,"2020-09-20","IND","MIN",28,11,"IND","home"
"2020_02_NE_SEA",2020,2,"2020-09-20","SEA","NE",35,30,"SEA","home"
"2020_02_NO_LV",2020,2,"2020-09-21","LV","NO",34,24,"LV","home"
"2020_02_NYG_CHI",2020,2,"2020-09-20","CHI","NYG",17,13,"CHI","home"
"2020_02_SF_NYJ",2020,2,"2020-09-20","NYJ","SF",13,31,"SF","away"
"2020_02_WAS_ARI",2020,2,"2020-09-20","ARI","WAS",30,15,"ARI","home"
"2020_03_CAR_LAC",2020,3,"2020-09-27","LAC","CAR",16,21,"CAR","away"
"2020_03_CHI_ATL",2020,3,"2020-09-27","ATL","CHI",26,30,"CHI","away"
"2020_03_CIN_PHI",2020,3,"2020-09-27","PHI","CIN",23,23,"tie","tie"
"2020_03_DAL_SEA",2020,3,"2020-09-27","SEA","DAL",38,31,"SEA","home"
"2020_03_DET_ARI",2020,3,"2020-09-27","ARI","DET",23,26,"DET","away"
"2020_03_GB_NO",2020,3,"2020-09-27","NO","GB",30,37,"GB","away"
"2020_03_HOU_PIT",2020,3,"2020-09-27","PIT","HOU",28,21,"PIT","home"
"2020_03_KC_BAL",2020,3,"2020-09-28","BAL","KC",20,34,"KC","away"
"2020_03_LA_BUF",2020,3,"2020-09-27","BUF","LA",35,32,"BUF","home"
"2020_03_LV_NE",2020,3,"2020-09-27","NE","LV",36,20,"NE","home"
"2020_03_MIA_JAX",2020,3,"2020-09-24","JAX","MIA",13,31,"MIA","away"
"2020_03_NYJ_IND",2020,3,"2020-09-27","IND","NYJ",36,7,"IND","home"
"2020_03_SF_NYG",2020,3,"2020-09-27","NYG","SF",9,36,"SF","away"
"2020_03_TB_DEN",2020,3,"2020-09-27","DEN","TB",10,28,"TB","away"
"2020_03_TEN_MIN",2020,3,"2020-09-27","MIN","TEN",30,31,"TEN","away"
"2020_03_WAS_CLE",2020,3,"2020-09-27","CLE","WAS",34,20,"CLE","home"
"2020_04_ARI_CAR",2020,4,"2020-10-04","CAR","ARI",31,21,"CAR","home"
"2020_04_ATL_GB",2020,4,"2020-10-05","GB","ATL",30,16,"GB","home"
"2020_04_BAL_WAS",2020,4,"2020-10-04","WAS","BAL",17,31,"BAL","away"
"2020_04_BUF_LV",2020,4,"2020-10-04","LV","BUF",23,30,"BUF","away"
"2020_04_CLE_DAL",2020,4,"2020-10-04","DAL","CLE",38,49,"CLE","away"
"2020_04_DEN_NYJ",2020,4,"2020-10-01","NYJ","DEN",28,37,"DEN","away"
"2020_04_IND_CHI",2020,4,"2020-10-04","CHI","IND",11,19,"IND","away"
"2020_04_JAX_CIN",2020,4,"2020-10-04","CIN","JAX",33,25,"CIN","home"
"2020_04_LAC_TB",2020,4,"2020-10-04","TB","LAC",38,31,"TB","home"
"2020_04_MIN_HOU",2020,4,"2020-10-04","HOU","MIN",23,31,"MIN","away"
"2020_04_NE_KC",2020,4,"2020-10-05","KC","NE",26,10,"KC","home"
"2020_04_NO_DET",2020,4,"2020-10-04","DET","NO",29,35,"NO","away"
"2020_04_NYG_LA",2020,4,"2020-10-04","LA","NYG",17,9,"LA","home"
"2020_04_PHI_SF",2020,4,"2020-10-04","SF","PHI",20,25,"PHI","away"
"2020_04_SEA_MIA",2020,4,"2020-10-04","MIA","SEA",23,31,"SEA","away"
"2020_05_ARI_NYJ",2020,5,"2020-10-11","NYJ","ARI",10,30,"ARI","away"
"2020_05_BUF_TEN",2020,5,"2020-10-13","TEN","BUF",42,16,"TEN","home"
"2020_05_CAR_ATL",2020,5,"2020-10-11","ATL","CAR",16,23,"CAR","away"
"2020_05_CIN_BAL",2020,5,"2020-10-11","BAL","CIN",27,3,"BAL","home"
"2020_05_IND_CLE",2020,5,"2020-10-11","CLE","IND",32,23,"CLE","home"
"2020_05_JAX_HOU",2020,5,"2020-10-11","HOU","JAX",30,14,"HOU","home"
"2020_05_LAC_NO",2020,5,"2020-10-12","NO","LAC",30,27,"NO","home"
"2020_05_LA_WAS",2020,5,"2020-10-11","WAS","LA",10,30,"LA","away"
"2020_05_LV_KC",2020,5,"2020-10-11","KC","LV",32,40,"LV","away"
"2020_05_MIA_SF",2020,5,"2020-10-11","SF","MIA",17,43,"MIA","away"
"2020_05_MIN_SEA",2020,5,"2020-10-11","SEA","MIN",27,26,"SEA","home"
"2020_05_NYG_DAL",2020,5,"2020-10-11","DAL","NYG",37,34,"DAL","home"
"2020_05_PHI_PIT",2020,5,"2020-10-11","PIT","PHI",38,29,"PIT","home"
"2020_05_TB_CHI",2020,5,"2020-10-08","CHI","TB",20,19,"CHI","home"
"2020_06_ARI_DAL",2020,6,"2020-10-19","DAL","ARI",10,38,"ARI","away"
"2020_06_ATL_MIN",2020,6,"2020-10-18","MIN","ATL",23,40,"ATL","away"
"2020_06_BAL_PHI",2020,6,"2020-10-18","PHI","BAL",28,30,"BAL","away"
"2020_06_CHI_CAR",2020,6,"2020-10-18","CAR","CHI",16,23,"CHI","away"
"2020_06_CIN_IND",2020,6,"2020-10-18","IND","CIN",31,27,"IND","home"
"2020_06_CLE_PIT",2020,6,"2020-10-18","PIT","CLE",38,7,"PIT","home"
"2020_06_DEN_NE",2020,6,"2020-10-18","NE","DEN",12,18,"DEN","away"
"2020_06_DET_JAX",2020,6,"2020-10-18","JAX","DET",16,34,"DET","away"
"2020_06_GB_TB",2020,6,"2020-10-18","TB","GB",38,10,"TB","home"
"2020_06_HOU_TEN",2020,6,"2020-10-18","TEN","HOU",42,36,"TEN","home"
"2020_06_KC_BUF",2020,6,"2020-10-19","BUF","KC",17,26,"KC","away"
"2020_06_LA_SF",2020,6,"2020-10-18","SF","LA",24,16,"SF","home"
"2020_06_NYJ_MIA",2020,6,"2020-10-18","MIA","NYJ",24,0,"MIA","home"
"2020_06_WAS_NYG",2020,6,"2020-10-18","NYG","WAS",20,19,"NYG","home"
"2020_07_BUF_NYJ",2020,7,"2020-10-25","NYJ","BUF",10,18,"BUF","away"
"2020_07_CAR_NO",2020,7,"2020-10-25","NO","CAR",27,24,"NO","home"
"2020_07_CHI_LA",2020,7,"2020-10-26","LA","CHI",24,10,"LA","home"
"2020_07_CLE_CIN",2020,7,"2020-10-25","CIN","CLE",34,37,"CLE","away"
"2020_07_DAL_WAS",2020,7,"2020-10-25","WAS","DAL",25,3,"WAS","home"
"2020_07_DET_ATL",2020,7,"2020-10-25","ATL","DET",22,23,"DET","away"
"2020_07_GB_HOU",2020,7,"2020-10-25","HOU","GB",20,35,"GB","away"
"2020_07_JAX_LAC",2020,7,"2020-10-25","LAC","JAX",39,29,"LAC","home"
"2020_07_KC_DEN",2020,7,"2020-10-25","DEN","KC",16,43,"KC","away"
"2020_07_NYG_PHI",2020,7,"2020-10-22","PHI","NYG",22,21,"PHI","home"
"2020_07_PIT_TEN",2020,7,"2020-10-25","TEN","PIT",24,27,"PIT","away"
"2020_07_SEA_ARI",2020,7,"2020-10-25","ARI","SEA",37,34,"ARI","home"
"2020_07_SF_NE",2020,7,"2020-10-25","NE","SF",6,33,"SF","away"
"2020_07_TB_LV",2020,7,"2020-10-25","LV","TB",20,45,"TB","away"
"2020_08_ATL_CAR",2020,8,"2020-10-29","CAR","ATL",17,25,"ATL","away"
"2020_08_DAL_PHI",2020,8,"2020-11-01","PHI","DAL",23,9,"PHI","home"
"2020_08_IND_DET",2020,8,"2020-11-01","DET","IND",21,41,"IND","away"
"2020_08_LAC_DEN",2020,8,"2020-11-01","DEN","LAC",31,30,"DEN","home"
"2020_08_LA_MIA",2020,8,"2020-11-01","MIA","LA",28,17,"MIA","home"
"2020_08_LV_CLE",2020,8,"2020-11-01","CLE","LV",6,16,"LV","away"
"2020_08_MIN_GB",2020,8,"2020-11-01","GB","MIN",22,28,"MIN","away"
"2020_08_NE_BUF",2020,8,"2020-11-01","BUF","NE",24,21,"BUF","home"
"2020_08_NO_CHI",2020,8,"2020-11-01","CHI","NO",23,26,"NO","away"
"2020_08_NYJ_KC",2020,8,"2020-11-01","KC","NYJ",35,9,"KC","home"
"2020_08_PIT_BAL",2020,8,"2020-11-01","BAL","PIT",24,28,"PIT","away"
"2020_08_SF_SEA",2020,8,"2020-11-01","SEA","SF",37,27,"SEA","home"
"2020_08_TB_NYG",2020,8,"2020-11-02","NYG","TB",23,25,"TB","away"
"2020_08_TEN_CIN",2020,8,"2020-11-01","CIN","TEN",31,20,"CIN","home"
"2020_09_BAL_IND",2020,9,"2020-11-08","IND","BAL",10,24,"BAL","away"
"2020_09_CAR_KC",2020,9,"2020-11-08","KC","CAR",33,31,"KC","home"
"2020_09_CHI_TEN",2020,9,"2020-11-08","TEN","CHI",24,17,"TEN","home"
"2020_09_DEN_ATL",2020,9,"2020-11-08","ATL","DEN",34,27,"ATL","home"
"2020_09_DET_MIN",2020,9,"2020-11-08","MIN","DET",34,20,"MIN","home"
"2020_09_GB_SF",2020,9,"2020-11-05","SF","GB",17,34,"GB","away"
"2020_09_HOU_JAX",2020,9,"2020-11-08","JAX","HOU",25,27,"HOU","away"
"2020_09_LV_LAC",2020,9,"2020-11-08","LAC","LV",26,31,"LV","away"
"2020_09_MIA_ARI",2020,9,"2020-11-08","ARI","MIA",31,34,"MIA","away"
"2020_09_NE_NYJ",2020,9,"2020-11-09","NYJ","NE",27,30,"NE","away"
"2020_09_NO_TB",2020,9,"2020-11-08","TB","NO",3,38,"NO","away"
"2020_09_NYG_WAS",2020,9,"2020-11-08","WAS","NYG",20,23,"NYG","away"
"2020_09_PIT_DAL",2020,9,"2020-11-08","DAL","PIT",19,24,"PIT","away"
"2020_09_SEA_BUF",2020,9,"2020-11-08","BUF","SEA",44,34,"BUF","home"
"2020_10_BAL_NE",2020,10,"2020-11-15","NE","BAL",23,17,"NE","home"
"2020_10_BUF_ARI",2020,10,"2020-11-15","ARI","BUF",32,30,"ARI","home"
"2020_10_CIN_PIT",2020,10,"2020-11-15","PIT","CIN",36,10,"PIT","home"
"2020_10_DEN_LV",2020,10,"2020-11-15","LV","DEN",37,12,"LV","home"
"2020_10_HOU_CLE",2020,10,"2020-11-15","CLE","HOU",10,7,"CLE","home"
"2020_10_IND_TEN",2020,10,"2020-11-12","TEN","IND",17,34,"IND","away"
"2020_10_JAX_GB",2020,10,"2020-11-15","GB","JAX",24,20,"GB","home"
"2020_10_LAC_MIA",2020,10,"2020-11-15","MIA","LAC",29,21,"MIA","home"
"2020_10_MIN_CHI",2020,10,"2020-11-16","CHI","MIN",13,19,"MIN","away"
"2020_10_PHI_NYG",2020,10,"2020-11-15","NYG","PHI",27,17,"NYG","home"
"2020_10_SEA_LA",2020,10,"2020-11-15","LA","SEA",23,16,"LA","home"
"2020_10_SF_NO",2020,10,"2020-11-15","NO","SF",27,13,"NO","home"
"2020_10_TB_CAR",2020,10,"2020-11-15","CAR","TB",23,46,"TB","away"
"2020_10_WAS_DET",2020,10,"2020-11-15","DET","WAS",30,27,"DET","home"
"2020_11_ARI_SEA",2020,11,"2020-11-19","SEA","ARI",28,21,"SEA","home"
"2020_11_ATL_NO",2020,11,"2020-11-22","NO","ATL",24,9,"NO","home"
