"game_id","team","opponent","points_for","points_against","home","winner","win","offensive_epa","success_rate","explosive_rate","yards_per_play","pass_rate","rush_rate","red_zone_td_rate","turnovers","fourth_down_attempts","third_down_conv_rate","fourth_down_conv_rate"
"2020_01_ARI_SF","SF","ARI",20,24,1,"ARI",0,-0.0444902616546066,0.480519480519481,0.0649350649350649,4.81578947368421,0.473684210526316,0.328947368421053,0.012987012987013,0,2,0.181818181818182,0
"2020_01_CHI_DET","DET","CHI",23,27,1,"CHI",0,-0.0349525352285469,0.422680412371134,0.112244897959184,4.48421052631579,0.452631578947368,0.305263157894737,0.0204081632653061,1,0,0.375,NA
"2020_01_CLE_BAL","BAL","CLE",38,6,1,"BAL",1,0.183182247750751,0.506849315068493,0.121621621621622,5.36619718309859,0.394366197183099,0.422535211267606,0.0675675675675676,1,0,0.545454545454545,NA
"2020_01_DAL_LA","LA","DAL",20,17,1,"LA",1,-0.0316753846055153,0.438202247191011,0.0888888888888889,4.74157303370786,0.359550561797753,0.449438202247191,0.0222222222222222,1,1,0.529411764705882,1
"2020_01_GB_MIN","MIN","GB",34,43,1,"GB",0,0.228349867091182,0.537313432835821,0.134328358208955,5.87878787878788,0.424242424242424,0.363636363636364,0.0447761194029851,1,1,0.5,0
"2020_01_HOU_KC","KC","HOU",34,20,1,"KC",1,0.229092329465261,0.541176470588235,0.0470588235294118,4.39285714285714,0.392857142857143,0.404761904761905,0.0352941176470588,0,1,0.538461538461538,1
"2020_01_IND_JAX","JAX","IND",27,20,1,"JAX",1,0.164835310797368,0.5,0.0769230769230769,3.82539682539683,0.380952380952381,0.365079365079365,0.0307692307692308,0,0,0.5,NA
"2020_01_LAC_CIN","CIN","LAC",13,16,1,"LAC",0,-0.168350138136309,0.413793103448276,0.0229885057471264,3.39080459770115,0.448275862068966,0.32183908045977,0,2,0,0.428571428571429,NA
"2020_01_LV_CAR","CAR","LV",30,34,1,"LV",0,0.134738856673691,0.451219512195122,0.0481927710843374,4.81481481481481,0.444444444444444,0.37037037037037,0.0240963855421687,0,2,0.538461538461538,0.5
"2020_01_MIA_NE","NE","MIA",21,11,1,"NE",1,0.10986531064729,0.578947368421053,0.103896103896104,4.82432432432432,0.283783783783784,0.567567567567568,0.038961038961039,1,1,0.5,1
"2020_01_NYJ_BUF","BUF","NYJ",27,17,1,"BUF",1,0.0300658177568563,0.5,0.0594059405940594,4.04,0.49,0.32,0.0297029702970297,2,1,0.5,1
"2020_01_PHI_WAS","WAS","PHI",27,17,1,"WAS",1,-0.114295351268945,0.351648351648352,0.032967032967033,2.65555555555556,0.377777777777778,0.4,0.032967032967033,0,2,0.277777777777778,0.5
"2020_01_PIT_NYG","NYG","PIT",16,26,1,"PIT",0,-0.0315445143479421,0.376470588235294,0.0352941176470588,3.46428571428571,0.535714285714286,0.238095238095238,0.0117647058823529,3,1,0.533333333333333,1
"2020_01_SEA_ATL","ATL","SEA",25,38,1,"SEA",0,-0.0114662869560786,0.416666666666667,0.0833333333333333,5.32631578947368,0.6,0.221052631578947,0.03125,2,4,0.5,0
"2020_01_TB_NO","NO","TB",34,23,1,"NO",1,-0.0537068714189703,0.375,0.0340909090909091,3.11494252873563,0.367816091954023,0.390804597701149,0.0340909090909091,0,1,0.333333333333333,0
"2020_01_TEN_DEN","DEN","TEN",14,16,1,"TEN",0,-0.0391713657644924,0.428571428571429,0.0845070422535211,4.61428571428571,0.471428571428571,0.371428571428571,0.028169014084507,1,1,0.333333333333333,0
"2020_02_ATL_DAL","DAL","ATL",40,39,1,"DAL",1,0.0364665845004853,0.529411764705882,0.106796116504854,5.64356435643564,0.495049504950495,0.316831683168317,0.0485436893203883,3,2,0.538461538461538,0
"2020_02_BAL_HOU","HOU","BAL",16,33,1,"BAL",0,-0.149488963736952,0.394736842105263,0.0394736842105263,4.05333333333333,0.533333333333333,0.226666666666667,0.0131578947368421,2,1,0.333333333333333,0
"2020_02_BUF_MIA","MIA","BUF",28,31,1,"BUF",0,0.153054049606356,0.484210526315789,0.0631578947368421,4.52747252747253,0.56043956043956,0.241758241758242,0.0315789473684211,0,1,0.416666666666667,0
"2020_02_CAR_TB","TB","CAR",31,17,1,"TB",1,0.0687238764801968,0.453333333333333,0.0666666666666667,4.58108108108108,0.472972972972973,0.297297297297297,0.0266666666666667,2,0,0.454545454545455,NA
"2020_02_CIN_CLE","CLE","CIN",35,30,1,"CLE",1,0.252397188025983,0.493150684931507,0.162162162162162,6.02777777777778,0.319444444444444,0.486111111111111,0.0540540540540541,1,2,0.625,0.5
"2020_02_DEN_PIT","PIT","DEN",26,21,1,"PIT",1,-0.113816856807576,0.409638554216867,0.0595238095238095,5,0.51219512195122,0.268292682926829,0.0119047619047619,2,2,0.166666666666667,0.5
"2020_02_DET_GB","GB","DET",42,21,1,"GB",1,0.269869927802702,0.528089887640449,0.133333333333333,5.56818181818182,0.352272727272727,0.409090909090909,0.0333333333333333,0,1,0.5,1
"2020_02_JAX_TEN","TEN","JAX",33,30,1,"TEN",1,0.22670022272283,0.542168674698795,0.0476190476190476,4.31707317073171,0.304878048780488,0.414634146341463,0.0476190476190476,0,0,0.636363636363636,NA
"2020_02_KC_LAC","LAC","KC",20,23,1,"KC",0,0.00878095141191217,0.474226804123711,0.0714285714285714,4.98958333333333,0.364583333333333,0.458333333333333,0.0204081632653061,1,2,0.461538461538462,0.5
"2020_02_LA_PHI","PHI","LA",19,37,1,"LA",0,-0.00311312272833977,0.488372093023256,0.0348837209302326,4.27058823529412,0.505882352941176,0.317647058823529,0.0232558139534884,4,1,0.583333333333333,0
